date,open,,high,,low,,close,
2019-02-19 13.00.00.000,1.12828,128280,1.12885,128850,1.12764,127640,1.12871,128710
2019-02-19 14.00.00.000,1.12869,128690,1.13007,130070,1.12861,128610,1.12957,129570
2019-02-19 15.00.00.000,1.12958,129580,1.13222,132220,1.12957,129570,1.13195,131950
2019-02-19 16.00.00.000,1.13193,131930,1.13395,133950,1.13161,131610,1.13341,133410
2019-02-19 17.00.00.000,1.13336,133360,1.13424,134240,1.13278,132780,1.13279,132790
2019-02-19 18.00.00.000,1.13276,132760,1.13573,135730,1.13205,132050,1.1348,134800
2019-02-19 19.00.00.000,1.13479,134790,1.13536,135360,1.1345,134500,1.13489,134890
2019-02-19 20.00.00.000,1.13488,134880,1.13503,135030,1.13356,133560,1.13402,134020
2019-02-19 21.00.00.000,1.13401,134010,1.13443,134430,1.13391,133910,1.13426,134260
2019-02-19 22.00.00.000,1.13424,134240,1.13424,134240,1.13394,133940,1.13401,134010
2019-02-19 23.00.00.000,1.13406,134060,1.1344,134400,1.13352,133520,1.13389,133890
2019-02-20 00.00.00.000,1.13388,133880,1.13407,134070,1.1338,133800,1.13396,133960
2019-02-20 01.00.00.000,1.13397,133970,1.13534,135340,1.13396,133960,1.13498,134980
2019-02-20 02.00.00.000,1.13497,134970,1.13559,135590,1.13477,134770,1.13542,135420
2019-02-20 03.00.00.000,1.13543,135430,1.13554,135540,1.13499,134990,1.13502,135020
2019-02-20 04.00.00.000,1.13501,135010,1.13506,135060,1.13427,134270,1.13449,134490
2019-02-20 05.00.00.000,1.1345,134500,1.1346,134600,1.13419,134190,1.13435,134350
2019-02-20 06.00.00.000,1.13436,134360,1.13456,134560,1.13374,133740,1.13374,133740
